245$a|245$b|245$c|100$a|490$v|260$c|856$u
"Quantitative clay mineralogy of several Louisiana soils"||"by Johan Forsman."|"Forsman, Johan,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-03162005-092843/"
"The Persian policies of Alexander the Great"|"from 330-323 BC/"|"by Nicholas Ed Foster."|"Foster, Nicholas Ed."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04112005-150526/"
"A conductor's study of Villa-Lobos's Magnificat-Alleluia and Bendita Sabedoria"||"by Hoffman Urquiza Pereira."|"Pereira, Hoffmann Urquiza."|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04032005-204912/"
"A conductor's analysis of Amaral Vieira's Stabat Mater, op.240"|"an approach between music and rhetoric /"|"by Vladimir A Pereira Silva."|"Pereira Silva, Vladimir A."|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04112005-220637/"
"Infrared and x-ray spectroscopic studies of the copper(II) oxide mediated reactions of chlorinated aromatic precursors to PCDD/F"||"by Steven L. Alderman."|"Alderman, Steven L.,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-01112005-150557/"
"An examination of teacher migration in a large, urban school district"||"by Christine C. Arab."|"Arab, Christine C."|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04122005-063949/"
"Mathematical models for estimating volatile chemical emissions from dredging operations"||"by Kenneth Alexander Fountain, II."|"Fountain, Kenneth Alexander,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04122005-200025/"
"Oxygen Uptake Efficiency Slope and functional physical performance in elderly adults"||"by Scott Eric Fuller."|"Fuller, Scott Eric,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-01242005-175732/"
"Remote power delivery for hybrid integrated Bio-implantable Electrical Stimulation System"||"by Venkat Reddy Gaddam."|"Gaddam, Venkat Reddy,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04152005-104826/"
"Analysis of performance of single-phase reluctance linear motor"||"by Subhadra Devi Ganti."|"Ganti, Subhadra Devi,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04122005-110354/"
"Analysis and testing of waste tire fiber modified concrete"||"by Gregory Marvin Garrick."|"Garrick, Gregory Marvin."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04112005-154524/"
"Blood work"||"by Mack Gingles."|"Gingles, Mack."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04132005-141508/"
"Fracture toughness characterization of syntactic foams"||"by Vijay Gorugantu."|"Gorugantu, Vijay,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-12012004-134154/"
"Insect colonization of child-sized remains and delay of post mortem interval"|"an exploratory study in the behavioral analysis of pig carcasses via 24 hour high resolution video surveillance /"|"by Abigail L. Gremillion."|"Gremillion, Abigail L."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04152005-101555/"
"Electrodeposition of AuCo alloys and multilayers"||"by Maoshi Guan."|"Guan, Maoshi,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04072005-132133/"
"The role of Matamore in Tony Kushner's adaptation of The Illusion"|"a production thesis in acting /"|"by Shawn Halliday."|"Halliday, Shawn,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04182005-093111/"
"Places common"|"encountering nature in time and place /"|"by Stacey Jo Harms."|"Harms, Stacey Jo,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04132005-192407/"
"The role of Pridamant in Tony Kushner's adaptation of The Illusion"|"a production thesis in acting /"|"by Brace Easton Harris."|"Harris, Brace Easton,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04122005-105836/"
"Effects of 5-HT2 receptor ligands on tail pinch-induced stress responding and open field behavior"||"by John K. Hearn."|"Hearn, John K."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04082005-111109/"
"Efficacy of modified parent training to facilitate expressive language of children with an expressive language delay"||"by Marie Henderson."|"Henderson, Marie."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04142005-120018/"
"The Riace bronzes"|"a comparative study in style and technique /"|"by Jennifer A. Henrichs."|"Henrichs, Jennifer A."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04142005-184207/"
"Simulation and economic evaluation of coal gasification with SETS reforming process for power production"||"by Zachary Hoffman."|"Hoffman, Zachary,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-03282005-165158/"
"Martin Heidegger's phenomenology and the science of mind"||"by Charles Dale Hollingsworth."|"Hollingsworth, Charles Dale,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04152005-085655/"
"Experimental method development for direct dosimetry of permanent interstitial prostate brachytherapy implants"||"by John Michael Jarrett."|"Jarrett, John Michael,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04132005-163217/"
"Sulfur and oxygen isotope characterization of an Eocene playa deposit, northern High Plains, and rainwater sulfate, Baton Rouge, USA"||"by Kathryn Ann Jenkins."|"Jenkins, Kathryn Ann."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04152005-100640/"
"Detection and evaluation of temperature effects on cell proliferation in somatic tissues of the eastern oyster, Crassostrea virginica, by flow cytometry"||"by Fernando Jimenez."|"Jimenez, Fernando."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04152005-095943/"
"The roles of Elicia/Lyse/Clarina in Tony Kushner's The Illusion"|"a production thesis in acting /"|"by Sarah Jane Johnson."|"Johnson, Sarah Jane,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04132005-143242/"
"Integrating horticulture biology and coastal environmental issues into the Middle School Science Curriculum"||"by Kathryn Lauren Karsh."|"Karsh, Kathryn Lauren,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-03282005-124326/"
"Weight concern and smoking in children"||"by Darla E. Kendzor."|"Kendzor, Darla E."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-03232005-144548/"
"Patterns of self-expression and impression management in blogs"||"by Ana Keshelashvili."|"Keshelashvili, Ana."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-01172005-051703/"
"Visualization based on interactive clipping"|"application to confocal data /"|"by Gaurav Khanduja."|"Khanduja, Gaurav,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04122005-125155/"
"Optimal operating strategy for wells with downhole water sink completions to control water production and improve performance"||"by Ozan Arslan."|"Arslan, Ozan,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-01132005-144724/"
"Separation and in situ catalytic testing of a dirhodium tetraphosphine catalyst"||"by Bobby L. Barker."|"Barker, Bobby L.,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04132005-131235/"
"Creating meaning in organizational change"|"a case in higher education /"|"by Kathleen Barnett."|"Barnett, Kathleen."|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04132005-153531/"
"Population dynamics of Clausocalanus furcatus (Copepoda, Calanoida) in the northern Gulf of Mexico"||"by Hongsheng Bi."|"Bi, Hongsheng,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-03232005-145224/"
"Trends in extreme daily temperature events in the south-central United States"||"by Gregory S. Bohr."|"Bohr, Gregory S."|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-12162004-123704/"
"Self-determination of students with disabilities in post-secondary education"||"by Laura Schexnayder Brackin."|"Brackin, Laura Schexnayder,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04142005-152625/"
"""We are no preacher"" [electronic resource] :"|"Margaret Oliphant's textual authority /"|"by Shannon Landry Brown."|"Brown, Shannon Landry."|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04132005-135311/"
"""Let me play a while"""|"storytelling characters and voices in the works of Mark Twain, William Faulkner, and Lee Smith /"|"by Kenneth Broyles."|"Broyles, Kenneth."|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04142005-161744/"
"Alu retrotransposition-mediated genomic variation within the primate order"||"by Pauline Ann Callinan."|"Callinan, Pauline Ann,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-03162005-093310/"
"New contention resolution techniques for optical burst switching"||"by Kishore Koduru."|"Koduru, Kishore,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04142005-172229/"
"Baseball and steroids in the news"|"how politicians and reporters construct the news /"|"by Claudia Kozman."|"Kozman, Claudia."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04112005-142536/"
"Determinants of abstention in the United States House of Representatives"|"an analysis of the 102nd through the 107th sessions /"|"by Mileah Kay Kromer."|"Kromer, Mileah Kay."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04142005-171033/"
"The influence of solo performance opportunities on self-reported levels of musical performance anxiety among undergraduate college music majors"||"by Carol W. Larsen."|"Larsen, Carol W."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04072005-170522/"
"Comorbidity of Attention-Deficit/Hyperactivity Disorder and Posttraumatic Stress Disorder among low income urban youth"||"by Karen Laslie."|"Laslie, Karen."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04132005-140539/"
"Investigation of the structure in electrodeposited nanostructured Co/Cu alloys, multilayers, and CoFe/Cu multilayered nanowires"||"by Erick Jamal Lawson."|"Lawson, Erick Jamal,"|"2006."|"2006]"|"http://etd.lsu.edu/docs/available/etd-04152005-104143/"
"""Is there a translator in teh [sic] house?"""|"cultural and discourse analysis of a virtual speech community on an internet message board /"|"by Tracy Rene LeBlanc."|"LeBlanc, Tracy Rene."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04072005-145922/"
"A crisis of opportunity"|"the example of New Orleans and public education in antebellum Louisiana /"|"by Sarah E. Lipscomb."|"Lipscomb, Sarah E."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04112005-131603/"
"The role of Sylvester Brown in August Wilson's Ma' Rainey's Black Bottom"|"a production thesis in acting /"|"by Eric Jerard Little."|"Little, Eric Jerard,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04122005-200327/"
"Environmental factors influencing incubation constancy and recess frequency in Gadwall (Anas strepera) in the prairie pothole region of North Dakota"||"by Nicole F. Lorenz."|"Lorenz, Nicole F.,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-01252005-122056/"
"American disillusionment and the search for self-fulfillment in the 1970's"|"a cultural history of Taxi Driver, Annie Hall, and Saturday Night Fever /"|"by Joshua Elliot Lubin."|"Lubin, Joshua Elliot,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04042005-195555/"
"The role of Lady Macbeth in Shakespeare's Macbeth"|"a production thesis in acting /"|"by Taralyn Adele MacMullen."|"MacMullen, Taralyn Adele,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04132005-093708/"
"Dental evidence for division of labor among the prehistoric Ipiutak and Tigara of Point Hope, Alaska"||"by Felicia Madimenos."|"Madimenos, Felicia,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04122005-123751/"
"Heuristics for offset assignment in embedded processors"||"by Satya Swaroop Mahapatra."|"Mahapatra, Satya Swaroop,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-01262005-135906/"
"Target tracking in wireless sensor networks"||"by Tarun Anand Malik."|"Malik, Tarun Anand,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-01042005-183805/"
"Sensorsimulator"|"simulation framework for sensor networks /"|"by Cariappa D. Mallanda."|"Mallanda, Cariappa D.,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-01242005-192139/"
"The purpose of magazine Web sites"||"by Mark Marquez, II."|"Marquez, Mark,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04112005-155320/"
"Purification and structural characterization of caged DNA oligonucleotides"||"by Brendan M. McAdams."|"McAdams, Brendan M.,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04142005-174335/"
"Press Street"|"a concept for preserving, reintroducing and fostering local history /"|"by Brian J. McBride."|"McBride, Brian J.,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04142005-182108/"
"The roles of Melibea/Isabelle/Hippolyta in Tony Kushner's adaptation of The Illusion"|"a production thesis in acting /"|"by Michelle Elain McCoy."|"McCoy, Michelle Elain,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04112005-134544/"
"Fashion involvement of affluent female consumers"||"by Robin Danielle McFatter."|"McFatter, Robin Danielle,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-01242005-143159/"
"Sufficient to make heaven weep"|"the American army in the Mexican War /"|"by Brian McGowan."|"McGowan, Brian,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-03122005-172245/"
"An analysis of human Alu element lineages"||"by Anthony Bronson Carter."|"Carter, Anthony Bronson."|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-03042005-123430/"
"Palimpsest encounters"|"a baseline study of Federal, Antebellum, and Postbellum New Orleans gardens using the Notarial Archives drawings /"|"by Cecilia L. McNab."|"McNab, Cecilia L."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-01252005-064635/"
"Four dimensional presentations as a new representation method"|"a proposal for the use of interactive multimedia presentation in landscape architecture /"|"by Kinoto Miyakoda."|"Miyakoda, Kinoto,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-01262005-133356/"
"Modeling destination choice and measuring the transferability of hurricane evacuation patterns"||"by Naveen Kumar Modali."|"Modali, Naveen Kumar,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-01212005-114146/"
"Mordred"|"treachery, transference, and border pressure in British Arthurian romance /"|"by George Gregory Molchan."|"Molchan, George Gregory."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04132005-122603/"
"Simulation of a micro jet cooling array"||"by Pierre Montanier."|"Montanier, Pierre,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04142005-162001/"
"La madame et la mademoiselle"|"Creole women in Louisiana, 1718-1865 /"|"by Katy Frances Morlas."|"Morlas, Katy Frances."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04042005-171447/"
"Identification of 'structural alerts' and associated mechanisms of action of mammary gland carcinogens in female rodents"||"by Shanna T. Moss."|"Moss, Shanna T."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-12232004-161321/"
"Defining modernity"|"mentality and ideology under the French Second Empire /"|"by Gavin Murray-Miller."|"Murray-Miller, Gavin,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04122005-171051/"
"Thermo and kinetic studies on the sorption and desorption of hydrophobic organic contaminants in sediments"||"by Yunzhou Chai."|"Chai, Yunzhou,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-12222004-163817/"
"The relationship between the papacy and the Jews in twelfth-century Rome"|"papal attitudes toward biblical Judaism and contemporary european Jewry /"|"by Marie Therese Champagne."|"Champagne, Marie Therese."|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04122005-110820/"
"Image processing techniques to identify predatory birds in aquacultural settings"||"by Uma Devi Nadimpalli."|"Nadimpalli, Uma Devi,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-03232005-095121/"
"Herbicide retention as affected by sugarcane mulch residue"||"by Brian J. Naquin."|"Naquin, Brian J.,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04132005-153906/"
"A study of distributed clustering of vector time series on the grid by task farming"||"by Arun Nayar."|"Nayar, Arun."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-01242005-144012/"
"An application of parallel computation to Collaborative Optimization"||"by Shahab Nayyer."|"Nayyer, Shahab."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04052005-143257/"
"Functionalization of gold and glass surfaces with magnetic nanoparticles using biomolecular interactions"||"by Bala Sesha Giri Rao Nidumolu."|"Nidumolu, Bala Sesha Giri Rao,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04152005-104631/"
"The foundation of an apparel factory"|"culture's place becomes a practiced space /"|"by Kim T. Chavis."|"Chavis, Kim T."|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-12162004-173707/"
"Stability of stochastic pricing models under volatility fluctuations"||"by Krassimir Nikolov."|"Nikolov, Krassimir,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04152005-010441/"
"Modification of CT quality assurance phantom for PET/CT alignment and PET resolution"||"by Prashanth K. Nookala."|"Nookala, Prashanth K.,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04132005-163806/"
"Une Société Nouvelle"|"the decline of the Gaullist party and France's move to the left /"|"by Neal A. Novak."|"Novak, Neal A.,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04112005-120455/"
"Finite element modeling approach and performance evaluation of fiber reinforced polymer sandwich bridge panels"||"by Stanley Onyema Oghumu."|"Oghumu, Stanley Onyema."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04122005-142648/"
"Vernacular exposures at the Aillet House"|"anthropological interpretations of material culture and cultural change /"|"by Kelli Ostrom."|"Ostrom, Kelli."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-01242005-151053/"
"Toward a construct validation of the Louisiana School Analysis Model Instructional Staff Questionnaire"||"by Nikki Bray Clark."|"Clark, Nikki Bray."|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04072005-082039/"
"Black Catholicism"|"religion and slavery in antebellum Louisiana /"|"by Lori Renee Pastor."|"Pastor, Lori Renee."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04042005-172526/"
"V-ATPase expression and function in the brine shrimp, Artemia franciscana"|"role of proton gradients in anoxia-induced quiescence /"|"by Joseph Antonio Covi."|"Covi, Joseph Antonio."|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04152005-094214/"
"Thermal management of the LSU micro gas chromatograph"||"by Praveen Kumar Pasupuleti."|"Pasupuleti, Praveen Kumar,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04142005-075005/"
"Evaluation of Beauveria bassiana and host plant resistance for the management of rice stink bug in rice agro-ecosystem"||"by Dilipkumar Patel."|"Patel, Dilipkumar,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04112005-201256/"
"Relationships among performance on simulated tasks of decision-making, positive outcome expectancies for MDMA, and age of first MDMA use"||"by Scott Michael Patterson."|"Patterson, Scott Michael."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-03252005-165703/"
"Master planning communities with wildlife in mind"||"by Helen Antoinette Peebles."|"Peebles, Helen Antoinette."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04132005-095244/"
"Comorbid childhood sexual abuse and substance abuse among women"|"knowledge, training, and preparedness of graduate counselor education and social work students /"|"by Laurie Elizabeth Pennington."|"Pennington, Laurie Elizabeth."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04142005-174821/"
"Cytokines and aeroallergens in the pathogenesis of summer-pasture associated obstructive pulmonary disease"|"effects on endothelin production, neutrophil activation and chemotaxis /"|"by Lais Rosa Rodrigues Costa."|"Costa, Lais Rosa Rodrigues."|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04152005-113904/"
"Power, money, and sex(uality)"|"the Black Masculine Paradigm /"|"by Kendric Coleman."|"Coleman, Kendric."|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04112005-175540/"
"Conceptualization and cognitive relativism on result in Mandarin Chinese"|"the case study of Mandarin Chinese bǎ construction using a cognitive and centering approach /"|"by Jin-huei Enya Dai."|"Dai, Jin-huei Enya."|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04152005-112438/"
"Transform techniques and non-stationarity with an emphasis on network applications"||"by Phat Piron."|"Piron, Phat."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04072005-115036/"
"Strategies and beliefs about conflict resolution"|"comparing children with language-learning disorders to children with typical language development /"|"by Karmen Louise Porter."|"Porter, Karmen Louise."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04072005-130656/"
"Do you speak English?"|"a study on English language proficiency testing of Hispanic defendants in U.S. criminal courts /"|"by Jana Anette Radmann."|"Radmann, Jana Anette,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04142005-224929/"
"A tale of two champions"|"LSU and Southern University compete for coverage in Louisiana newspapers /"|"by Damiane C. Ricks."|"Ricks, Damiane C.,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-12092004-230815/"
"Digging through discarded identity"|"archaeological investigations around the kitchen and the overseer's house at Whitney Plantation, Louisiana /"|"by Erika Sabine Roberts."|"Roberts, Erika Sabine."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-01262005-155314/"
"Yellow fever in the Felicianas"|"the epidemic of 1878 and its effects upon the residents of these rural parishes /"|"by Mary Jane Duke Russell."|"Russell, Mary Jane Duke,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-01122005-201431/"
"Recovering ancient ritual and the theatre of the Apache"|"a journey through the false consciousness of Western theatre history /"|"by Marla Kathleen Dean."|"Dean, Marla Kathleen."|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04152005-014414/"
"Comparative studies of sperm cryopreservation of diploid and tetraploid Pacific Oysters"||"by Qiaoxiang Dong."|"Dong, Qiaoxiang,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04152005-100148/"
"Spotted sea trout (Cynoscion nebulosus) and pinfish (Lagodon rhomboides) dietary analysis according to habitat type"||"by Micah Russell."|"Russell, Micah,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-12092004-152022/"
"Exploring committee outliers in a weak party state legislature"|"the Louisiana House, 2000-2003 /"|"by Trisha Mari Sandahl."|"Sandahl, Trisha Mari,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04142005-190013/"
"Mapping weak multidimensional torus communications on optical slab waveguides"||"by Karthik Sethuraman."|"Sethuraman, Karthik."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-01252005-144734/"
"Improved watermarking scheme using decimal sequences"||"by Shaik Ashfaq Naveed."|"Naveed, Shaik Ashfaq,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04082005-125138/"
"The art of living - the marketing of identity through nationality and spirituality"||"by Shirisha Shankar."|"Shankar, Shirisha,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04122005-173708/"
"Effect of multiuser interference on subscriber location in CDMA networks"||"by Rohit Sharma."|"Sharma, Rohit."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04132005-181109/"
"The effect of age and sex on the growth patterns of bovine cell lines"||"by Jeho Shin."|"Shin, Jeho,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04112005-195230/"
"Liquid architectures"|"Marcos Novak's territory of information /"|"by Camile A. Silva."|"Silva, Camile A.,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-01202005-102411/"
"Local narratives"|"an approach to participatory planning in community revitalization projects /"|"by Herpreet Kaur Singh."|"Singh, Herpreet Kaur,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04142005-102300/"
"The free world confronted"|"the problem of slavery and progress in American foreign relations, 1833-1844 /"|"by Steven Heath Mitton."|"Mitton, Steven Heath,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-01192005-120441/"
"Two dimensional sediment transport model using parallel computers"||"by Vikas Singh."|"Singh, Vikas,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-03312005-193516/"
"Chorale and Canon in Alfred Schnittke's Fourth String Quartet"||"by Aaminah Durrani."|"Durrani, Aaminah,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-01242005-183547/"
"PAH and PCB distribution in sediment fractions and sorptive phases"||"by Trudy J. Estes."|"Estes, Trudy J.,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-03282005-123322/"
"Schoolin' women"|"hip hop pedagogies of black women rappers /"|"by Nichole Ann Guillory."|"Guillory, Nichole Ann."|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04132005-074319/"
"Amino acid requirements and low crude protein, amino acid supplemented diets for swine and poultry"||"by Dustin W. Dean."|"Dean, Dustin W.,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04052005-161052/"
"Ecotoxicology of metal-hydrocarbon mixtures in benthic invertebrates"||"by Kurt A. Gust."|"Gust, Kurt A.,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04112005-145019/"
"Carbonate records of submarine hydrocarbon venting"|"northern Gulf of Mexico /"|"by Matthew S. Hackworth."|"Hackworth, Matthew S.,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04132005-202304/"
"Sites of resistance"|"language, intertextuality, and subjectivity in the poetry of Diane Wakoski /"|"by Cordelia Maxwell Hanemann."|"Hanemann, Cordelia Maxwell,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04012005-134822/"
"Interference suppression and parameter estimation in wireless communication systems over time-varing multipath fading channels"||"by Jianqiang He."|"He, Jianqiang,"|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04112005-201353/"
"Putting down roots in environmental literacy"|"a study of middle school students' participation in Louisiana Sea Grant's Coastal Roots Project /"|"by Rachel L. Somers."|"Somers, Rachel L."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04142005-104733/"
"Happy cake meltdown"||"by Joshua Spahr."|"Spahr, Joshua,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04082005-105715/"
"Linear versus cyclic inorganic/organic hybrid oligomeric molecules"||"by Christopher Sparrow."|"Sparrow, Christopher,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-02242005-133322/"
"Analysis of alternative well control methods for dual density deepwater drilling"||"by Mikolaj Stanislawek."|"Stanislawek, Mikolaj."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-12152004-124203/"
"Usability of home cholesterol test kits and their impact on patients' decision"||"by Deepti Surabattula."|"Surabattula, Deepti,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-12012004-132618/"
"Fuzzifying [sic] Markov decision process"||"by Syed Irshad Ahmed."|"Ahmed, Syed Irshad."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04112005-224801/"
"Amplification dynamics of primate retrotransposons"||"by Dale James Hedges."|"Hedges, Dale James."|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-03232005-161807/"
"Damage mechanics of composite materials using fabric tensors"||"by Ziad N. Taqieddin."|"Taqieddin, Ziad N.,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04062005-112716/"
"Spalding Gray and the Slippery Slope of confessional performance"||"by David Price Terry."|"Terry, David Price."|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04052005-105607/"
"The literary frontier"|"creating an American nation (1820-1840) /"|"by Tena Lea Helton."|"Helton, Tena Lea."|"2005]"|"2005]"|"http://etd.lsu.edu/docs/available/etd-04112005-150114/"
"Deposition of carbon layers from cyclohexane by thermal Chemical Vapor Deposition"||"by Bharath Thiruvengadachari."|"Thiruvengadachari, Bharath,"|"2005."|"2005]"|"http://etd.lsu.edu/docs/available/etd-04142005-161100/"
